Prov/Terr,Age,Electoral population,Votes cast,Voter turnout (%) estimate
NL,18 to 24 years,"36,927","14,953",40.5
,25 to 34 years,"54,455","25,679",47.2
,35 to 44 years,"60,704","32,812",54.1
,45 to 54 years,"76,015","43,419",57.1
,55 to 64 years,"83,615","53,640",64.2
,65 to 74 years,"70,510","49,920",70.8
,75 years and over,"42,255","26,466",62.6
PE,18 to 24 years,"11,616","6,605",56.9
,25 to 34 years,"15,789","10,288",65.2
,35 to 44 years,"15,614","11,573",74.1
,45 to 54 years,"18,295","14,026",76.7
,55 to 64 years,"22,207","18,397",82.8
,65 to 74 years,"18,351","15,796",86.1
,75 years and over,"12,595","9,677",76.8
NS,18 to 24 years,"71,115","39,430",55.4
,25 to 34 years,"108,697","67,473",62.1
,35 to 44 years,"105,908","71,797",67.8
,45 to 54 years,"123,416","87,843",71.2
,55 to 64 years,"147,674","115,705",78.4
,65 to 74 years,"116,373","96,917",83.3
,75 years and over,"81,808","59,572",72.8
NB,18 to 24 years,"53,913","29,880",55.4
,25 to 34 years,"82,217","50,611",61.6
,35 to 44 years,"87,883","61,829",70.4
,45 to 54 years,"102,238","74,937",73.3
,55 to 64 years,"120,415","95,485",79.3
,65 to 74 years,"97,721","81,634",83.5
,75 years and over,"68,228","49,981",73.3
QC,18 to 24 years,"582,321","325,667",55.9
,25 to 34 years,"931,148","536,543",57.6
,35 to 44 years,"1,032,713","664,819",64.4
,45 to 54 years,"1,019,521","689,337",67.6
,55 to 64 years,"1,219,192","906,008",74.3
,65 to 74 years,"933,845","752,050",80.5
,75 years and over,"709,898","485,606",68.4
ON,18 to 24 years,"1,124,803","610,129",54.2
,25 to 34 years,"1,676,031","966,218",57.6
,35 to 44 years,"1,617,250","1,031,705",63.8
,45 to 54 years,"1,765,725","1,200,909",68.0
,55 to 64 years,"1,899,775","1,373,682",72.3
,65 to 74 years,"1,347,833","1,053,247",78.1
,75 years and over,"1,039,163","711,917",68.5
MB,18 to 24 years,"109,492","52,689",48.1
,25 to 34 years,"159,723","86,046",53.9
,35 to 44 years,"151,186","90,288",59.7
,45 to 54 years,"146,176","95,019",65.0
,55 to 64 years,"162,018","116,386",71.8
,65 to 74 years,"118,639","93,186",78.5
,75 years and over,"90,051","62,383",69.3
SK,18 to 24 years,"91,739","49,355",53.8
,25 to 34 years,"144,830","92,025",63.5
,35 to 44 years,"136,109","96,153",70.6
,45 to 54 years,"121,843","89,467",73.4
,55 to 64 years,"145,294","114,927",79.1
,65 to 74 years,"101,350","84,960",83.8
,75 years and over,"80,786","59,649",73.8
AB,18 to 24 years,"329,454","179,577",54.5
,25 to 34 years,"560,843","351,059",62.6
,35 to 44 years,"579,135","388,672",67.1
,45 to 54 years,"503,854","361,078",71.7
,55 to 64 years,"519,804","391,712",75.4
,65 to 74 years,"334,013","264,168",79.1
,75 years and over,"224,961","157,715",70.1
BC,18 to 24 years,"349,901","182,020",52.0
,25 to 34 years,"580,125","334,611",57.7
,35 to 44 years,"564,406","361,874",64.1
,45 to 54 years,"592,404","390,775",66.0
,55 to 64 years,"671,931","473,910",70.5
,65 to 74 years,"520,928","402,490",77.3
,75 years and over,"390,280","256,874",65.8
YT,18 to 24 years,"2,751","1,259",45.8
,25 to 34 years,"5,477","3,790",69.2
,35 to 44 years,"5,659","3,976",70.3
,45 to 54 years,"5,086","3,563",70.1
,55 to 64 years,"5,973","4,362",73.0
,65 to 74 years,"3,750","2,964",79.1
,75 years and over,"1,741","1,236",71.0
NT,18 to 24 years,"4,061","1,114",27.4
,25 to 34 years,"6,887","3,094",44.9
,35 to 44 years,"6,369","3,356",52.7
,45 to 54 years,"5,484","3,185",58.1
,55 to 64 years,"5,697","3,377",59.3
,65 to 74 years,"2,755","1,687",61.2
,75 years and over,1252,602,48.0
NU,18 to 24 years,"4,376","1,000",22.9
,25 to 34 years,"6,216","2,202",35.4
,35 to 44 years,"4,859","2,086",42.9
,45 to 54 years,"4,080","1,905",46.7
,55 to 64 years,"2,909","1,459",50.2
,65 to 74 years,"1,220",704,57.7
,75 years and over,427,186,43.5